titles,publish_year,length,age_restriction,votes,rating
The Lady from Shanghai,1947,1h 27m,Not Rated,33K,7.5
In a Lonely Place,1950,1h 34m,Not Rated,35K,7.9
Island of Lost Souls,1932,1h 10m,Passed,11K,7.4
Suddenly,1954,1h 17m,Unrated,7.3K,6.8
Dark Passage,1947,1h 46m,Passed,22K,7.5
Sweet Smell of Success,1957,1h 36m,Approved,35K,8.0
Niagara,1953,1h 32m,Not Rated,20K,7.0
The Big Heat,1953,1h 29m,Passed,29K,7.9
Scarlet Street,1945,1h 42m,Approved,19K,7.7
Nightmare Alley,1947,1h 50m,Passed,13K,7.7
Angels with Dirty Faces,1938,1h 37m,Passed,23K,7.9
Kiss Me Deadly,1955,1h 46m,Not Rated,22K,7.5
The Lost Weekend,1945,1h 41m,Passed,40K,7.9
Leave Her to Heaven,1945,1h 50m,Passed,15K,7.6
Wonka,2023,1h 56m,PG,82K,7.2
Percy Jackson and the Olympians,2021 ,1h 25m,TV-MA,22K,7.3
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,not available,not available
Migration,2023,1h 23m,PG,10K,6.7
Wish,2023,1h 35m,PG,18K,5.7
Kimitachi wa dô ikiru ka,2023,2h 4m,PG-13,39K,7.6
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,340K,8.6
Masters of the Universe: Revolution,2021 ,1h 25m,TV-MA,1.4K,7.8
Trolls Band Together,2023,1h 31m,PG,10K,6.0
Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,847K,7.6
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,354K,9.3
The Super Mario Bros. Movie,2023,1h 32m,PG,227K,7.0
Mary Poppins,1964,2h 19m,G,184K,7.8
Percy Jackson & the Olympians: The Lightning Thief,2010,1h 58m,PG,201K,5.9
Charlie and the Chocolate Factory,2005,1h 55m,PG,522K,6.7
Willy Wonka & the Chocolate Factory,1971,1h 40m,G,223K,7.8
Elemental,2023,1h 41m,PG,114K,7.0
Bluey,2021 ,1h 25m,TV-MA,24K,9.4
Kung Fu Panda 4,2024,1h 34m,PG,not available,not available
Leo,2023,1h 42m,PG,30K,7.0
Malcolm in the Middle,2021 ,1h 25m,TV-MA,141K,8.2
How to Train Your Dragon,2025,not available,not available,not available,not available
The Princess Bride,1987,1h 38m,PG,447K,8.0
Cats,2019,1h 50m,PG,55K,2.8
Sen to Chihiro no kamikakushi,2001,2h 5m,PG,834K,8.6
Nimona,2023,1h 41m,PG,39K,7.5
Doctor Who,2021 ,1h 25m,TV-MA,39K,8.4
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,1h 39m,PG,57K,7.2
Heartland,2021 ,1h 25m,TV-MA,19K,8.5
Harry Potter and the Goblet of Fire,2005,2h 37m,PG-13,674K,7.7
The Little Mermaid,2023,2h 15m,PG,152K,7.2
Cars,2006,1h 57m,G,461K,7.2
Soul,2020,1h 40m,PG,372K,8.0
The Goonies,1985,1h 54m,PG,295K,7.7
Sonic the Hedgehog 3,2024,not available,not available,not available,not available
"Narnias kronikebi: Lomi, jadokari da karada",2005,2h 23m,PG,424K,6.9
Little House on the Prairie,2021 ,1h 25m,TV-MA,26K,7.5
Sing 2,2021,1h 50m,PG,85K,7.4
Encanto,2021,1h 42m,PG,256K,7.2
The Lion King,1994,1h 28m,G,1.1M,8.5
The Last Airbender,2010,1h 43m,PG,171K,4.0
Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,656K,8.4
Harry Potter and the Deathly Hallows - Part 2,2011,2h 10m,PG-13,937K,8.1
Home Alone,1990,1h 43m,PG,647K,7.7
Fantastic Beasts: The Secrets of Dumbledore,2022,2h 22m,PG-13,166K,6.2
SpongeBob SquarePants,2021 ,1h 25m,TV-MA,110K,8.2
Hauru no ugoku shiro,2004,1h 59m,PG,439K,8.2
Harry Potter and the Prisoner of Azkaban,2004,2h 22m,PG,683K,7.9
Batman: The Animated Series,2021 ,1h 25m,TV-MA,115K,9.0
A Bug's Life,1998,1h 35m,G,311K,7.2
Wonka,2023,1h 56m,PG,82K,7.2
Hazbin Hotel,2021 ,1h 25m,TV-MA,11K,7.7
Percy Jackson and the Olympians,2021 ,1h 25m,TV-MA,22K,7.3
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,not available,not available
Barbie,2023,1h 54m,PG-13,480K,6.9
Aquaman and the Lost Kingdom,2023,2h 4m,PG-13,45K,5.8
Samefo Karis Tamashebi,2021 ,1h 25m,TV-MA,2.3M,9.2
All of Us Strangers,2023,1h 45m,R,9.3K,8.0
Zebunebrivi,2021 ,1h 25m,TV-MA,477K,8.4
Migration,2023,1h 23m,PG,10K,6.7
Stranger Things,2021 ,1h 25m,TV-MA,1.3M,8.7
The Marvels,2023,1h 45m,PG-13,83K,5.6
Wish,2023,1h 35m,PG,18K,5.7
Rebel Moon - Part One: A Child of Fire,2023,2h 13m,PG-13,94K,5.6
House of the Dragon,2021 ,1h 25m,TV-MA,359K,8.4
Hanu Man,2021 ,1h 25m,TV-MA,16K,8.6
Legenda tarzanze,2016,1h 50m,PG-13,187K,6.2
Shingeki no Kyojin,2021 ,1h 25m,TV-MA,493K,9.1
Kimitachi wa dô ikiru ka,2023,2h 4m,PG-13,39K,7.6
Ore dake Level Up na Ken,2021 ,1h 25m,TV-MA,5.7K,8.5
One Piece: Wan pîsu,2021 ,1h 25m,TV-MA,221K,8.9
Jujutsu Kaisen,2021 ,1h 25m,TV-MA,105K,8.6
Invincible,2021 ,1h 25m,TV-MA,189K,8.7
The Witcher,2021 ,1h 25m,TV-MA,563K,8.0
Outlander,2021 ,1h 25m,TV-MA,177K,8.4
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,340K,8.6
Dakargulebi,2021 ,1h 25m,TV-MA,588K,8.3
Masters of the Universe: Revolution,2021 ,1h 25m,TV-MA,1.4K,7.8
Trolls Band Together,2023,1h 31m,PG,10K,6.0
Daredevil,2021 ,1h 25m,TV-MA,469K,8.6
Everything Everywhere All at Once,2022,2h 19m,R,512K,7.8
The Mandalorian,2021 ,1h 25m,TV-MA,577K,8.7
The Vampire Diaries,2021 ,1h 25m,TV-MA,345K,7.7
The Wheel of Time,2021 ,1h 25m,TV-MA,135K,7.2
Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,847K,7.6
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,354K,9.3
Lucifer,2021 ,1h 25m,TV-MA,351K,8.1
One Piece,2021 ,1h 25m,TV-MA,139K,8.4
Bechdebis mbrdzanebeli: Bechdis sadzmo,2001,2h 58m,PG-13,2M,8.9
"Yijae, Got Jookseummida",2023 ,not available,not available,6.3K,8.7
My Demon,2021 ,1h 25m,TV-MA,5.8K,7.8
Wednesday,2021 ,1h 25m,TV-MA,350K,8.1
The Lord of the Rings: The Rings of Power,2021 ,1h 25m,TV-MA,347K,7.0
Buffy the Vampire Slayer,2021 ,1h 25m,TV-MA,158K,8.3
Mortal Kombat 2,,not available,not available,not available,not available
The Super Mario Bros. Movie,2023,1h 32m,PG,227K,7.0
Star Wars: The Bad Batch,2021 ,1h 25m,TV-MA,49K,7.8
Loki,2021 ,1h 25m,TV-MA,404K,8.2
Ghostbusters: Afterlife,2021,2h 4m,PG-13,208K,7.1
Ahsoka,2021 ,1h 25m,TV-MA,104K,7.6
Killers of the Flower Moon,2023,3h 26m,R,186K,7.7
Oppenheimer,2023,3h,R,619K,8.4
La sociedad de la nieve,2023,2h 24m,R,79K,7.9
The Zone of Interest,2023,1h 45m,PG-13,8.1K,7.9
Ferrari,2023,2h 10m,R,21K,6.6
Maestro,2023,2h 9m,R,42K,6.7
Napoleon,2023,2h 38m,R,101K,6.5
The Crown,2021 ,1h 25m,TV-MA,252K,8.6
The Artful Dodger,2021 ,1h 25m,TV-MA,6.7K,8.0
Band of Brothers,2021 ,1h 25m,TV-MA,515K,9.4
The Favourite,2018,1h 59m,R,222K,7.5
Vikings,2021 ,1h 25m,TV-MA,573K,8.5
Blue Eye Samurai,2021 ,1h 25m,TV-MA,52K,8.8
Origin,2023,2h 21m,PG-13,1.8K,7.3
Sound of Freedom,2023,2h 11m,PG-13,105K,7.7
Bodies,2021 ,1h 25m,TV-MA,48K,7.3
One Life,2023,1h 50m,PG,4.3K,7.7
Call the Midwife,2021 ,1h 25m,TV-MA,31K,8.6
Rustin,2023,1h 46m,PG-13,6.6K,6.6
Shindleris sia,1993,3h 15m,R,1.4M,9.0
All the Light We Cannot See,2021 ,1h 25m,TV-MA,40K,7.5
Shôgun,2021 ,1h 25m,TV-MA,not available,not available
The Last Kingdom,2021 ,1h 25m,TV-MA,163K,8.5
Chernobyl,2021 ,1h 25m,TV-MA,846K,9.3
The Chosen,2021 ,1h 25m,TV-MA,44K,9.2
Babylon,2022,3h 9m,R,161K,7.1
The Good Shepherd,2006,2h 47m,R,108K,6.7
The Book of Clarence,2023,2h 9m,PG-13,1.9K,6.0
The Pacific,2021 ,1h 25m,TV-MA,126K,8.3
Bastarden,2023,2h 7m,R,8.7K,7.7
Tombstone,1993,2h 10m,R,164K,7.8
The Great,2021 ,1h 25m,TV-MA,53K,8.2
Gyeongseong Creature,2021 ,1h 25m,TV-MA,7.7K,7.3
El conde,2023,1h 50m,R,8.9K,6.4
Deadwood,2021 ,1h 25m,TV-MA,116K,8.6
Dunkirk,2017,1h 46m,PG-13,727K,7.8
The New Look,2024 ,not available,not available,not available,not available
Braveheart,1995,2h 58m,R,1.1M,8.3
Vikings: Valhalla,2021 ,1h 25m,TV-MA,55K,7.3
Apollo 13,1995,2h 20m,PG,312K,7.7
The Northman,2022,2h 17m,R,247K,7.0
The Tudors,2021 ,1h 25m,TV-MA,80K,8.1
Vinland Saga,2021 ,1h 25m,TV-MA,67K,8.8
Our Flag Means Death,2021 ,1h 25m,TV-MA,41K,7.8
The King,2019,2h 20m,R,149K,7.3
Kingdom of Heaven,2005,2h 24m,R,310K,7.3
Cristóbal Balenciaga,2021 ,1h 25m,TV-MA,488,7.7
BlackBerry,2023,2h,R,34K,7.4
The Long Shadow,2021 ,1h 25m,TV-MA,5.9K,7.8
Hacksaw Ridge,2016,2h 19m,R,583K,8.1
Killers of the Flower Moon,2023,3h 26m,R,186K,7.7
Yellowstone,2021 ,1h 25m,TV-MA,207K,8.7
1883,2021 ,1h 25m,TV-MA,110K,8.7
1923,2021 ,1h 25m,TV-MA,50K,8.3
Justified,2021 ,1h 25m,TV-MA,117K,8.6
Lawmen: Bass Reeves,2021 ,1h 25m,TV-MA,9K,7.5
Cowboys & Aliens,2011,1h 59m,PG-13,231K,6.0
Tombstone,1993,2h 10m,R,164K,7.8
Bad Girls,1994,1h 39m,R,13K,5.2
The Revenant,2015,2h 36m,R,862K,8.0
Gunsmoke,2021 ,1h 25m,TV-MA,8.5K,8.1
Deadwood,2021 ,1h 25m,TV-MA,116K,8.6
Django Unchained,2012,2h 45m,R,1.7M,8.5
Hell or High Water,2016,1h 42m,R,249K,7.6
Little House on the Prairie,2021 ,1h 25m,TV-MA,26K,7.5
Wind River,2017,1h 47m,R,277K,7.7
The Hateful Eight,2015,2h 48m,R,651K,7.8
Blazing Saddles,1974,1h 33m,R,150K,7.7
"Kargi, cudi, boroti",1966,2h 41m,Approved,802K,8.8
Shane,1953,1h 58m,Not Rated,44K,7.6
Longmire,2021 ,1h 25m,TV-MA,39K,8.3
Bone Tomahawk,2015,2h 12m,Not Rated,116K,7.1
Dances with Wolves,1990,3h 1m,PG-13,287K,8.0
Godless,2021 ,1h 25m,TV-MA,77K,8.2
"Walker, Texas Ranger",2021 ,1h 25m,TV-MA,19K,5.6
Joe Pickett,2021 ,1h 25m,TV-MA,9.8K,7.7
Sulis simtkitse,2010,1h 50m,PG-13,355K,7.6
The Magnificent Seven,2016,2h 12m,PG-13,226K,6.9
Walker,2021 ,1h 25m,TV-MA,15K,6.2
The Ballad of Buster Scruggs,2018,2h 13m,R,165K,7.2
Faraway Downs,2023,not available,not available,2.5K,6.9
The English,2021 ,1h 25m,TV-MA,28K,7.8
Ride,2021 ,1h 25m,TV-MA,785,6.4
Hostiles,2017,2h 14m,R,94K,7.2
Malaikottai Vaaliban,2021 ,1h 25m,TV-MA,2K,7.0
Unforgiven,1992,2h 10m,R,432K,8.2
Legends of the Fall,1994,2h 13m,R,180K,7.5
Tin Man,2021 ,1h 25m,TV-MA,14K,7.0
Rust,,not available,not available,not available,not available
Bonanza,2021 ,1h 25m,TV-MA,11K,7.3
C'era una volta il West,1968,2h 46m,PG-13,346K,8.5
Death Rider in the House of Vampires,2021,1h 32m,Not Rated,259,3.8
El Dorado,1966,2h 6m,Passed,30K,7.5
The Power of the Dog,2021,2h 6m,R,191K,6.8
Billy the Kid,2021 ,1h 25m,TV-MA,6.9K,7.3
Wagon Train,2021 ,1h 25m,TV-MA,3.7K,7.5
Desperado,1995,1h 44m,R,196K,7.1
Hell on Wheels,2021 ,1h 25m,TV-MA,55K,8.3
High Plains Drifter,1973,1h 45m,R,63K,7.4
The Ranch,2021 ,1h 25m,TV-MA,42K,7.5
The Wonderful Story of Henry Sugar,2023,37m,PG,56K,7.4
"Love, Death & Robots",2021 ,1h 25m,TV-MA,192K,8.4
Hotel Desire,2011,38m,TV-MA,4.6K,5.6
The Last Repair Shop,2021 ,1h 25m,TV-MA,656,7.2
The After,2023,18m,TV-MA,1.9K,6.2
The Court Jester,2021 ,1h 25m,TV-MA,175,6.8
Backstroke,2021 ,1h 25m,TV-MA,664,6.3
"Red, White and Blue",2021 ,1h 25m,TV-MA,359,7.1
Phineas and Ferb,2021 ,1h 25m,TV-MA,55K,8.1
Vlihi,2021 ,1h 25m,TV-MA,249,7.8
The Karman Line,2014,24m,TV-PG,423,7.9
Extraña forma de vida,2023,31m,R,7.3K,6.3
Bob Hearts Abishola,2021 ,1h 25m,TV-MA,5.3K,7.0
The Amazing World of Gumball,2021 ,1h 25m,TV-MA,40K,8.3
Ridder Lykke,2021 ,1h 25m,TV-MA,474,7.1
The Barber of Little Rock,2021 ,1h 25m,TV-MA,337,6.5
Nai Nai & Wài Pó,2021 ,1h 25m,TV-MA,114,7.2
Mean Girls Reunion,2020,not available,not available,146,7.2
The Batman: Deleted Arkham Scene,2021 ,1h 25m,TV-MA,17K,8.2
Poison,2023,17m,PG,18K,6.8
Peppa Pig,2021 ,1h 25m,TV-MA,6.4K,6.3
Steven Universe,2021 ,1h 25m,TV-MA,39K,8.2
Ninety-Five Senses,2021 ,1h 25m,TV-MA,422,7.4
WAR IS OVER! Inspired by the Music of John and Yoko,2021 ,1h 25m,TV-MA,144,6.6
Invincible,2021 ,1h 25m,TV-MA,341,7.2
Once Upon a Studio,2023,9m,G,6.2K,8.4
The Strange Thing About the Johnsons,2021 ,1h 25m,TV-MA,9.4K,7.1
Over the Garden Wall,2021 ,1h 25m,TV-MA,69K,8.8
Nimic,2019,12m,Not Rated,7.7K,6.6
The Loud House,2021 ,1h 25m,TV-MA,8.1K,7.0
Letter to a Pig,2021 ,1h 25m,TV-MA,363,6.9
Fallen Tree,2021 ,1h 25m,TV-MA,335,6.4
Teen Titans Go!,2021 ,1h 25m,TV-MA,24K,5.5
The Shepherd,2023,38m,PG,3.9K,6.2
Home Movie: The Princess Bride,2021 ,1h 25m,TV-MA,1.8K,7.9
Tales of the Jedi,2021 ,1h 25m,TV-MA,33K,8.2
Back to the Future Part IV: Back in Timeline,2021 ,1h 25m,TV-MA,69,5.6
True Detective: Matthew McConaughey Out Takes,2021 ,1h 25m,TV-MA,227,8.7
Robot Chicken,2021 ,1h 25m,TV-MA,46K,7.7
Pachyderme,2021 ,1h 25m,TV-MA,508,7.0
The ABCs of Book Banning,2021 ,1h 25m,TV-MA,292,6.5
Smiling Friends,2021 ,1h 25m,TV-MA,13K,8.5
The Swan,2023,17m,PG,17K,6.8
Most Dangerous Game,2021 ,1h 25m,TV-MA,14K,6.6
The Rat Catcher,2023,17m,PG,17K,6.5
The Heart,2021 ,1h 25m,TV-MA,32,5.8
Night Swim,2021 ,1h 25m,TV-MA,321,5.8
The Ghost and Molly McGee,2021 ,1h 25m,TV-MA,1.8K,7.5
Star Wars: Visions,2021 ,1h 25m,TV-MA,24K,7.0
Our Uniform,2021 ,1h 25m,TV-MA,157,6.7
Last Week Tonight with John Oliver,2021 ,1h 25m,TV-MA,95K,8.9
The Daily Show,2021 ,1h 25m,TV-MA,48K,8.3
Beyond Utopia,2023,1h 55m,PG-13,2.2K,8.0
Dateline NBC,2021 ,1h 25m,TV-MA,3.3K,7.2
60 Minutes,2021 ,1h 25m,TV-MA,4.3K,7.5
20/20,2021 ,1h 25m,TV-MA,2.7K,6.7
What to Watch,2020 ,not available,not available,331,6.1
Real Time with Bill Maher,2021 ,1h 25m,TV-MA,14K,7.4
IMDb Originals,2021 ,1h 25m,TV-MA,1.2K,7.1
Entertainment Tonight,1981 ,not available,not available,2.7K,3.6
Weather Report,2005 ,not available,not available,981,9.3
Good Morning America,2021 ,1h 25m,TV-MA,2K,4.5
Today,2021 ,1h 25m,TV-MA,2.4K,4.6
Frontline,2021 ,1h 25m,TV-MA,2.3K,8.6
Best in Sex: 2015 AVN Awards,2015,1h 34m,18+,221,4.3
The Drew Barrymore Show,2021 ,1h 25m,TV-MA,958,5.1
The Talk,2021 ,1h 25m,TV-MA,2.4K,3.2
Sex Before the Internet,2021 ,1h 25m,TV-MA,54,6.3
The Daily Bugle,2021 ,1h 25m,TV-MA,312,6.0
A Storm Foretold,2021 ,1h 25m,TV-MA,460,7.6
Before the Flood,2016,1h 36m,PG,29K,8.2
CBS News Sunday Morning,2021 ,1h 25m,TV-MA,1.1K,7.9
Have I Got News for You,1990 ,not available,not available,5.4K,7.9
2011 AVN Awards Show,2021 ,1h 25m,TV-MA,68,5.2
Adam Ruins Everything,2021 ,1h 25m,TV-MA,7.4K,8.1
The Doctors,2021 ,1h 25m,TV-MA,1K,4.7
IMDb on the Scene,2021 ,1h 25m,TV-MA,561,6.4
While We Watched,2021 ,1h 25m,TV-MA,2.2K,8.6
The Oprah Winfrey Show,2021 ,1h 25m,TV-MA,5.4K,5.1
Morning Joe,2007 ,not available,not available,1.3K,4.3
This Hour Has 22 Minutes,2021 ,1h 25m,TV-MA,970,7.0
Best in Sex: 2017 AVN Awards,2017,1h 27m,18+,242,5.1
Naked News,2021 ,1h 25m,TV-MA,853,6.6
Fox & Friends,1998 ,not available,not available,2.4K,3.0
Indian Matchmaking,2021 ,1h 25m,TV-MA,4.4K,6.3
The Last Leg,2021 ,1h 25m,TV-MA,1.7K,7.1
AVN Awards 2014,2014,1h 22m,R,154,5.3
Access Hollywood,2021 ,1h 25m,TV-MA,911,3.2
Attack of the Show!,2021 ,1h 25m,TV-MA,2.4K,7.8
This Morning,1988 ,not available,not available,874,4.5
"Food, Inc.",2008,1h 34m,PG,52K,7.8
The Boys: VNN (Seven on 7),20212022,not available,not available,157,7.1
Eva Longoria: Searching for Mexico,2023 ,not available,not available,257,7.4
The Pat McAfee Show,2017 ,not available,not available,128,7.0
Nudes in the News,2002 ,not available,not available,18,3.6
TMZ Live,2011 ,not available,not available,210,3.4
Extra,2021 ,1h 25m,TV-MA,948,3.2
The 7PM Project,2009 ,not available,not available,858,4.4
The Greg Gutfeld Show,2021 ,1h 25m,TV-MA,1.2K,6.1
Faking It: Tears of a Crime,2017 ,not available,not available,125,6.7
The Traitors,2021 ,1h 25m,TV-MA,2.8K,7.6
The Traitors UK,2021 ,1h 25m,TV-MA,4.3K,8.8
Love on the Spectrum U.S.,2021 ,1h 25m,TV-MA,2.4K,8.2
Love on the Spectrum,2021 ,1h 25m,TV-MA,7.1K,8.6
Pawn Stars,2021 ,1h 25m,TV-MA,18K,7.2
Naked Attraction,2016 ,not available,not available,1.9K,5.4
On the Roam,2024 ,not available,not available,146,6.8
Queer Eye,2021 ,1h 25m,TV-MA,21K,8.5
Vanderpump Rules,2021 ,1h 25m,TV-MA,3.8K,6.1
The Trust: A Game of Greed,2021 ,1h 25m,TV-MA,738,6.2
RuPaul's Drag Race,2021 ,1h 25m,TV-MA,23K,8.5
Clarkson's Farm,2021 ,1h 25m,TV-MA,54K,9.0
Survivor,2021 ,1h 25m,TV-MA,27K,7.5
The Real Housewives of Beverly Hills,2021 ,1h 25m,TV-MA,7.3K,5.5
Below Deck,2021 ,1h 25m,TV-MA,4.8K,7.5
Below Deck Mediterranean,2021 ,1h 25m,TV-MA,3.7K,7.6
The Challenge,2021 ,1h 25m,TV-MA,4.2K,8.1
Love is Blind: Sverige,2021 ,1h 25m,TV-MA,314,6.2
Hell's Kitchen,2021 ,1h 25m,TV-MA,23K,7.2
Love Island,2021 ,1h 25m,TV-MA,4.5K,5.3
The Traitors Australia,2021 ,1h 25m,TV-MA,972,8.0
The Curse of Oak Island,2021 ,1h 25m,TV-MA,6.5K,6.9
Gladiators,19922000,not available,not available,1.5K,6.5
Baddies East,2023 ,not available,not available,148,7.1
Impractical Jokers,2021 ,1h 25m,TV-MA,45K,8.6
The Real Housewives of Salt Lake City,2021 ,1h 25m,TV-MA,1.2K,6.5
Deal or No Deal Island,2024 ,not available,not available,16,4.7
Squid Game: The Challenge,2021 ,1h 25m,TV-MA,16K,5.8
Love Is Blind,2021 ,1h 25m,TV-MA,11K,6.2
The Bachelor,2021 ,1h 25m,TV-MA,7.5K,3.2
Chrissy & Dave Dine Out,2024 ,not available,not available,48,6.0
1000-lb Sisters,2021 ,1h 25m,TV-MA,1.2K,6.0
The Great British Bake Off,2021 ,1h 25m,TV-MA,13K,8.6
"Gordon, Gino & Fred's Road Trip",2018 ,not available,not available,2.1K,8.4
Kitchen Nightmares,2021 ,1h 25m,TV-MA,14K,7.5
Naked and Afraid,2021 ,1h 25m,TV-MA,4.9K,6.6
Gold Rush,2021 ,1h 25m,TV-MA,5.4K,7.3
Dance Moms,2021 ,1h 25m,TV-MA,6.9K,4.6
90 Day Fiancé,2021 ,1h 25m,TV-MA,2.5K,6.4
Alone,2021 ,1h 25m,TV-MA,7.2K,8.4
Love & Translation,2021 ,1h 25m,TV-MA,16,5.3
Selling Sunset,2021 ,1h 25m,TV-MA,8K,6.6
Mystery at Blind Frog Ranch,2021 ,1h 25m,TV-MA,796,6.0
MythBusters,2021 ,1h 25m,TV-MA,55K,8.3
The Millionaire Matchmaker,2021 ,1h 25m,TV-MA,1.5K,4.5
Southern Charm,2021 ,1h 25m,TV-MA,1.4K,6.5
Too Hot to Handle,2021 ,1h 25m,TV-MA,15K,4.7
Catching Kelce,2021 ,1h 25m,TV-MA,86,5.3
Dubai Bling,2021 ,1h 25m,TV-MA,2K,3.8
Sister Wives,2021 ,1h 25m,TV-MA,2.9K,4.5
The Hill,2023,2h 6m,PG,3.2K,6.7
The Iron Claw,2023,2h 12m,R,16K,8.1
The Boys in the Boat,2023,2h 3m,PG-13,8.1K,7.0
Ted Lasso,2021 ,1h 25m,TV-MA,334K,8.8
Nyad,2023,2h 1m,PG-13,22K,7.1
60 Minuten,2024,1h 28m,TV-MA,2.4K,5.7
The Underdoggs,2024,1h 36m,R,1.3K,5.5
Cobra Kai,2021 ,1h 25m,TV-MA,202K,8.5
One Tree Hill,2021 ,1h 25m,TV-MA,86K,7.8
Next Goal Wins,2023,1h 44m,PG-13,10K,6.5
Gran Turismo,2023,2h 14m,PG-13,82K,7.2
Warrior,2011,2h 20m,PG-13,494K,8.1
Friday Night Lights,2021 ,1h 25m,TV-MA,72K,8.7
Cars,2006,1h 57m,G,461K,7.2
Ford v Ferrari,2019,2h 32m,PG-13,455K,8.1
Air,2023,1h 51m,R,161K,7.4
The Basketball Diaries,1995,1h 42m,R,120K,7.3
Blue Mountain State,2021 ,1h 25m,TV-MA,57K,8.3
No One Would Tell,1996,1h 36m,TV-14,2.9K,6.6
Challengers,2021 ,1h 25m,TV-MA,not available,not available
2 Win,2024,1h 49m,R,1.3K,5.8
A League of Their Own,1992,2h 8m,PG,120K,7.3
"I, Tonya",2017,1h 59m,R,239K,7.5
Dodgeball: A True Underdog Story,2004,1h 32m,PG-13,265K,6.7
She's the Man,2006,1h 45m,PG-13,173K,6.4
Untitled Karate Kid Movie,2024,not available,not available,not available,not available
Shoresy,2021 ,1h 25m,TV-MA,7.5K,8.5
Caddyshack,1980,1h 38m,13+,126K,7.2
Six Nations: Full Contact,2021 ,1h 25m,TV-MA,383,7.7
Moneyball,2011,2h 13m,PG-13,458K,7.6
The Karate Kid,1984,2h 6m,PG,242K,7.3
Lady Ballers,2023,1h 52m,TV-14,10K,6.0
Ballers,2021 ,1h 25m,TV-MA,76K,7.8
Remember the Titans,2000,1h 53m,PG,230K,7.8
Rocky,1976,2h,PG,621K,8.1
Real Steel,2011,2h 7m,PG-13,352K,7.1
Champions,2023,2h 4m,PG-13,24K,6.8
The Grand Tour,2021 ,1h 25m,TV-MA,82K,8.7
Rush,2013,2h 3m,R,508K,8.1
Welcome to Wrexham,2021 ,1h 25m,TV-MA,19K,8.3
Happy Gilmore,1996,1h 32m,PG-13,244K,7.0
Talladega Nights: The Ballad of Ricky Bobby,2006,1h 48m,PG-13,197K,6.6
The Sandlot,1993,1h 41m,PG,101K,7.8
Mebrdzoli,2010,1h 56m,R,386K,7.8
Molly's Game,2017,2h 20m,R,185K,7.4
Raging Bull,1980,2h 9m,R,376K,8.1
Bring It On,2000,1h 38m,PG-13,104K,6.1
Jerry Maguire,1996,2h 19m,R,284K,7.3
Southpaw,2015,2h 4m,R,255K,7.3
The Waterboy,1998,1h 30m,PG-13,176K,6.1
In the Know,2024 ,not available,not available,255,6.7
The Grand Tour,2021 ,1h 25m,TV-MA,82K,8.7
Top Gear,2021 ,1h 25m,TV-MA,126K,8.7
Last Week Tonight with John Oliver,2021 ,1h 25m,TV-MA,95K,8.9
The Daily Show,2021 ,1h 25m,TV-MA,48K,8.3
Sesame Street,2021 ,1h 25m,TV-MA,15K,8.1
The Graham Norton Show,2021 ,1h 25m,TV-MA,13K,8.4
The Traitors: Uncloaked,2024 ,not available,not available,26,7.6
The Last Drive-In with Joe Bob Briggs,2021 ,1h 25m,TV-MA,1.8K,9.4
